post_id,title,url,category,category_name,outgoing_link_count
2026-07-27-welcome,혼자 사는 삶을 더 쉽게 만드는 법 — 1인 가구 생활백서를 시작하며,https://honsamnote.co.kr/blog/2026-07-27-welcome/,,,0
2026-07-30-storage-23,"이사 앞둔 1인 가구, 버릴 물건에 발목 잡혔다면? 손해 없이 후회 없이 짐 줄이는 현실 가이드",https://honsamnote.co.kr/blog/2026-07-30-storage-23/,storage,좁은 집과 수납,2
2026-08-01-food-auto-7f290f,"퇴근 후 요리 시간 아끼는 1인 가구 직장인, 미니 다지기 vs. 칼질: 당신의 손목과 시간을 위한 현명한 선택",https://honsamnote.co.kr/blog/2026-08-01-food-auto-7f290f/,food,혼밥·식재료 관리,2
2026-08-01-housing-auto-1c1518,"혼자 사는 직장인, 이사 갈 때 대형 폐기물 처리? 시간과 돈 아끼는 3가지 선택 비교",https://honsamnote.co.kr/blog/2026-08-01-housing-auto-1c1518/,housing,주거·계약·이사,2
2026-08-01-lifestyle-auto-a6f950,"혼자 사는 직장인, 경조사 챙기기가 막막하다면? 시간과 에너지를 아끼는 스마트 가이드",https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-a6f950/,lifestyle,관계·고립·생활 리듬,2
2026-08-01-products-auto-29af64,"혼자 사는 직장인, 잦은 이사에 목돈 부담? 가구 구독/렌탈, 우리 집에 맞는지 따져보는 3가지 기준",https://honsamnote.co.kr/blog/2026-08-01-products-auto-29af64/,products,1인 가구 제품·서비스,2
2026-08-01-safety-auto-0466e2,"혼자 사는 당신, 집에서 갑자기 쓰러지거나 움직일 수 없을 때? 스마트 응급 호출 시스템, 나에게 정말 필요할까?",https://honsamnote.co.kr/blog/2026-08-01-safety-auto-0466e2/,safety,안전·응급상황,6
2026-08-03-food-auto-f85a75,"1인 가구, '이거 왜 샀지?' 냉장고 속 낯선 식재료, 버릴까 말까? 알뜰하게 다 쓰는 활용법",https://honsamnote.co.kr/blog/2026-08-03-food-auto-f85a75/,food,혼밥·식재료 관리,6
2026-08-04-cleaning-auto-99cb94,"혼자 사는 당신, 퇴근 후 끈적이는 바닥? 손 걸레질 vs 스팀 청소기, 후회 없는 선택 기준",https://honsamnote.co.kr/blog/2026-08-04-cleaning-auto-99cb94/,cleaning,청소·세탁·집안일,2
2026-08-04-lifestyle-auto-dabdf3,"혼자 사는 직장인, 친구나 가족이 잠깐 머물겠다고 할 때, 내 공간 지키며 관계도 유지하는 현명한 대처법",https://honsamnote.co.kr/blog/2026-08-04-lifestyle-auto-dabdf3/,lifestyle,관계·고립·생활 리듬,6
2026-08-05-housing-auto-7ef549,"혼자 사는 직장인, 새집 인터넷·TV 가입! 통신 3사 vs 알뜰 결합 vs 지역 케이블, 내 돈 아끼는 현명한 선택 가이드",https://honsamnote.co.kr/blog/2026-08-05-housing-auto-7ef549/,housing,주거·계약·이사,2
2026-08-06-cleaning-auto-ba24cc,"혼자 사는 당신, 설거지 후 주방 싱크대 물이 안 내려가? 지금 당장 막힌 배수구 뻥 뚫는 현실적인 솔루션",https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-ba24cc/,cleaning,청소·세탁·집안일,6
2026-08-06-lifestyle-auto-2e08db,"혼자 사는 직장인, 평일 연차나 공휴일에 생활 리듬이 무너진다면? 나만의 '갓생 휴일' 루틴으로 재정비하는 현실 가이드",https://honsamnote.co.kr/blog/2026-08-06-lifestyle-auto-2e08db/,lifestyle,관계·고립·생활 리듬,6
2026-08-06-lifestyle-auto-7d8463,"혼자 사는 직장인, 퇴근 후 적당한 외부 활동 찾기가 망설여진다면? 소규모 취미 클래스 vs. 단기 체험 모임, 나에게 맞는 선택 기준",https://honsamnote.co.kr/blog/2026-08-06-lifestyle-auto-7d8463/,lifestyle,관계·고립·생활 리듬,6
2026-08-06-safety-auto-5817e5,"혼자 사는 당신, 태풍·호우·강풍 예보가 떴을 때: 갑작스러운 재해에 우리 집을 안전하게 지키는 현실적인 방법",https://honsamnote.co.kr/blog/2026-08-06-safety-auto-5817e5/,safety,안전·응급상황,6
2026-08-06-safety-auto-b35351,"혼자 사는 당신, 예상치 못한 방문자가 '점검왔다'며 현관문을 두드릴 때: 신분 확인부터 안전한 응대까지 현실적인 대처법",https://honsamnote.co.kr/blog/2026-08-06-safety-auto-b35351/,safety,안전·응급상황,6
2026-08-07-food-auto-0e8387,"1인 가구 직장인, 혼자 시킨 배달 음식 한 끼에 다 못 먹을 때: 버리지 않고 다음 끼니까지 알뜰하게 즐기는 현실적인 전략",https://honsamnote.co.kr/blog/2026-08-07-food-auto-0e8387/,food,혼밥·식재료 관리,6
2026-08-07-housing-auto-e33294,"혼자 사는 직장인, 입주 며칠 만에 새 집에서 누수 발견! 당황 말고 수리비 책임 따지고 해결하는 법",https://honsamnote.co.kr/blog/2026-08-07-housing-auto-e33294/,housing,주거·계약·이사,6
2026-08-07-products-auto-75313c,"혼자 사는 직장인, 멀쩡한 옷도 보풀 때문에 헌 옷 같다면? 1인 가구 보풀제거기, 후회 없이 고르고 옷 수명 늘리는 법",https://honsamnote.co.kr/blog/2026-08-07-products-auto-75313c/,products,1인 가구 제품·서비스,2
2026-08-07-products-auto-bd7178,"혼자 사는 직장인, 낯선 초인종 소리에 불안하다면? 1인 가구 스마트 도어벨, 현명하게 고르는 3가지 기준",https://honsamnote.co.kr/blog/2026-08-07-products-auto-bd7178/,products,1인 가구 제품·서비스,2
